station,lat,lon,hp,country,thunderstorms,datetime
TARAKAN/JUWATA,333,11756,6,Indonesia,95,2025112015
BINTULU,320,11303,5,Malaysia,95,2025112015
NAPOLI/CAPODICHINO,4088,1428,72,Italy,95,2025112015
PEKAN BARU/SIMPANGTIGA,46,10145,31,Indonesia,95,2025112015
KERKYRA (AIRPORT),3960,1990,1.9,Greece,95,2025112015
RATMALANA,681,7988,5,Sri Lanka,95,2025112012
MAHA ILLUPPALLAMA,811,8046,117,Sri Lanka,95,2025112012
LICHINGA,-1330,3523,1365,Mozambique,95,2025112012
BINTULU,320,11303,5,Malaysia,95,2025112012
POSO/KASIGUNCU,-141,12065,2,Indonesia,95,2025112012
LABUAN,530,11525,30,Malaysia,95,2025112012
GENERAL PICO AERO,-3568,29625,145,Argentina,95,2025112009
KUANTAN,378,10321,16,Malaysia,95,2025112009
ANGOCHE,-1621,3990,62,Mozambique,95,2025112009
JAYAPURA/SENTANI,-256,14051,99,Indonesia,95,2025112009
PENANG/BAYAN LEPAS,530,10026,4,Malaysia,95,2025112009
MAKOKOU,56,1286,515,Gabon,95,2025112009
"WICHITA/MID-CONTINENT, KS.",3765,26257,409,United States of America,95,2025112009
SIBU,233,11183,31,Malaysia,95,2025112009
TERESINA (AERO),-505,31719,69,Brazil,95,2025112006
SUMBAWA BESAR/BRANGBIJI,-848,11740,3,Indonesia,95,2025112006
"WICHITA FALLS/SHEPS AFB/WICHITA FALLS/MUN., TX.",3396,26152,314,United States of America,95,2025112006
TANAH MERAH,-610,14030,16,Indonesia,95,2025112006
AKTION (AIRPORT),3891,2076,3.94,Greece,95,2025112006
KERKYRA (AIRPORT),3960,1990,1.9,Greece,95,2025112003
SUMBAWANGA,-796,3161,1923,"Tanzania, United Republic of",95,2025112003
PONTIANAK/SUPADIO,-15,10940,3,Indonesia,95,2025112003
NADI AIRPORT,-1775,17745,24,Fiji,95,2025112003
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,95,2025112003
IQUITOS,-378,28670,126,Peru,95,2025112000
KINSHASA/N'DJILI,-438,1543,312,Democratic Republic of the Congo,95,2025112000
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,97,2025112000
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,97,2025112000
BANJARMASIN/SYAMSUDIN NOOR,-343,11475,20,Indonesia,95,2025112000
BRAZZAVILLE /MAYA-MAYA,-425,1525,316,Congo,95,2025112000
KERKYRA (AIRPORT),3960,1990,1.9,Greece,95,2025112000
NANSHA DAO,1038,11437,5,China,B95,2025111921
NHA TRANG,1221,10921,4,Viet Nam,95,2025111921
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,95,2025111921
KERKYRA (AIRPORT),3960,1990,1.9,Greece,95,2025111921
BAU-BAU/BETO AMBARI,-548,12256,2,Indonesia,95,2025111921
MALACCA,226,10225,9,Malaysia,95,2025111921
SEMARANG/AHMAD YANI,-698,11038,3,Indonesia,95,2025111918
AMBON/PATTIMURA,-370,12808,12,Indonesia,95,2025111918
BELEM (AERO),-138,31152,16,Brazil,95,2025111918
SINGAPORE/CHANGI AIRPORT,136,10396,16,Singapore,95,2025111918
ADIAKE,530,-29866,39,C̫te d'Ivoire,95,2025111918
PORT-GENTIL,-70,875,4,Gabon,95,2025111918
CAJAMARCA,-713,28152,2622,Peru,95,2025111918
TANJUNG PINANG/KIJANG,91,10451,18,Indonesia,95,2025111918
MALACCA,226,10225,9,Malaysia,95,2025111918
PALANGKA RAYA/TJILIK RIWUT,-221,11393,27,Indonesia,95,2025111918
TOAMASINA,-1811,4940,6,Madagascar,95,2025111918
