station,lat,lon,hp,country,hvyrain
"LUKUNOCH ATOLL, CAROLINE ISLANDS",550,15381,3,Islands,64.8
MANIHIKI AWS,-1043,19899,0,Cook Islands,55.2
SONGKHLA,716,10060,6.56,Thailand,96.9
HAT YAI AIRPORT,693,10038,34.93,Thailand,144.6
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,208.1
PATTANI,678,10113,6.01,Thailand,107.8
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,293.6
SA DAO,678,10040,25.49,Thailand,56.5
NHA TRANG,1221,10921,4,Viet Nam,159.9
KHO HONG AGROMET,700,10050,9.73,Thailand,231
"WEATHER SERVICE OFFICE, CHUUK, ECI",745,15183,3.4,"Micronesia, Federated States of",60.2
QUY NHON,1376,10921,6,Viet Nam,65.9
PHUKET,788,9840,3.8,Thailand,55.5
KERKYRA (AIRPORT),3960,1990,1.9,Greece,70
CHAWANG,841,9950,30.37,Thailand,134.4
YALA AGROMET,650,10126,36.04,Thailand,73.2
PHRASANG,856,9925,14.05,Thailand,67.2
ARMENIA/EL EDEN,450,28429,1219,Colombia,52
TRANG,751,9961,15.82,Thailand,94.1
TIRANA-LA PRAKA,4133,1980,97,Albania,50.6
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,295.6
48863,1513,10878,,,63
TRANG,751,9961,15.82,Thailand,106.1
SONG TU TAY (SOUTH WEST CAY),1141,11433,5,Viet Nam,72
PHRASANG,856,9925,14.05,Thailand,66
CROKER ISLAND AIRPORT,-1115,13246,10.6,Australia,64
APARRI,1835,12161,3,Philippines,119
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,244.8
TIRANA-LA PRAKA,4133,1980,97,Albania,52
48863,1513,10878,,,77
PHUKET,788,9840,3.8,Thailand,86.7
QUY NHON,1376,10921,6,Viet Nam,94
"WEATHER SERVICE OFFICE, CHUUK, ECI",745,15183,3.4,"Micronesia, Federated States of",57.2
YALA AGROMET,650,10126,36.04,Thailand,76.8
KASTORIA (AIRPORT),4043,2126,658.68,Greece,52.3
CHAWANG,841,9950,30.37,Thailand,129
KRABI,810,9896,31.09,Thailand,50.6
KERKYRA (AIRPORT),3960,1990,1.9,Greece,119.1
NHA TRANG,1221,10921,4,Viet Nam,214
SURAT THANI AGROMET,913,9963,36.8,Thailand,104.7
SA DAO,678,10040,25.49,Thailand,82.4
KO SAMUI,943,10003,6,Thailand,55.1
FLYVESTATION AALBORG,5708,985,13,Denmark,999.8
KHO HONG AGROMET,700,10050,9.73,Thailand,243.6
LHOKSEUMAWE/MALIKUSSALEH,521,9693,87,Indonesia,92
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,236.4
PATTANI,678,10113,6.01,Thailand,127.6
HAT YAI AIRPORT,693,10038,34.93,Thailand,170
TUGUEGARAO,1763,12175,62,Philippines,110.9
ZUMBO,-1561,3043,340,Mozambique,64
SONGKHLA,716,10060,6.56,Thailand,118.9
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,266.5
TRANG,751,9961,15.82,Thailand,82.3
SONG TU TAY (SOUTH WEST CAY),1141,11433,5,Viet Nam,67
HANAN AIRPORT,-1908,19007,59,Niue,329.3
APARRI,1835,12161,3,Philippines,91.2
48863,1513,10878,,,79
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,212.6
PHUKET,788,9840,3.8,Thailand,75.2
QUY NHON,1376,10921,6,Viet Nam,182
"WEATHER SERVICE OFFICE, CHUUK, ECI",745,15183,3.4,"Micronesia, Federated States of",57.2
YALA AGROMET,650,10126,36.04,Thailand,72.9
KASTORIA (AIRPORT),4043,2126,658.68,Greece,57
CHAWANG,841,9950,30.37,Thailand,84.5
48875,1266,10805,,,79
KERKYRA (AIRPORT),3960,1990,1.9,Greece,83
NHA TRANG,1221,10921,4,Viet Nam,172
APIA,-1380,18822,2,Samoa,999
SA DAO,678,10040,25.49,Thailand,73.8
KUALA TRENGGANU,538,10310,6,Malaysia,79.2
SURAT THANI AGROMET,913,9963,36.8,Thailand,156.2
KO SAMUI,943,10003,6,Thailand,64.3
LHOKSEUMAWE/MALIKUSSALEH,521,9693,87,Indonesia,94
KHO HONG AGROMET,700,10050,9.73,Thailand,210.4
PATTANI,678,10113,6.01,Thailand,123.9
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,245.3
"FORT CHIPEWYAN, ALTA",5876,24889,0,Canada,149
MINICOY,830,7300,1.83,India,69
TUGUEGARAO,1763,12175,62,Philippines,90.6
GJIROKASTRA,4008,2015,194,Albania,94
HAT YAI AIRPORT,693,10038,34.93,Thailand,155
SONGKHLA,716,10060,6.56,Thailand,122.6
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,277.2
KORCA,4060,2076,899,Albania,163
KORCA,4060,2076,899,Albania,157
NAKHONSI THAMMARAT,853,9993,5.53,Thailand,151.3
QUIBDO/EL CARANO,571,28339,53,Colombia,83.6
HAT YAI AIRPORT,693,10038,34.93,Thailand,127.2
GJIROKASTRA,4008,2015,194,Albania,92
OHRID-AERODROME,4110,2081,700,The former Yugoslav Republic of Macedonia,52
OHRID,4111,2080,761,The former Yugoslav Republic of Macedonia,54.9
SONGKHLA,716,10060,6.56,Thailand,77.2
PHATTHALUNG AGROMET,756,10015,4.15,Thailand,137.4
MINICOY,830,7300,1.83,India,71.3
HUE,1643,10758,9,Viet Nam,58
KHO HONG AGROMET,700,10050,9.73,Thailand,172.8
KO SAMUI,943,10003,6,Thailand,62.7
SURAT THANI AGROMET,913,9963,36.8,Thailand,169.6
SA DAO,678,10040,25.49,Thailand,57.4
NHA TRANG,1221,10921,4,Viet Nam,166.4
48875,1266,10805,,,73
KERKYRA (AIRPORT),3960,1990,1.9,Greece,53.1
KASTORIA (AIRPORT),4043,2126,658.68,Greece,51
KUKES,4203,2041,354,Albania,69
QUY NHON,1376,10921,6,Viet Nam,323
NAKHONSI THAMMARAT AGROMET,835,10005,3.02,Thailand,82.8
48863,1513,10878,,,98
SONG TU TAY (SOUTH WEST CAY),1141,11433,5,Viet Nam,69
